Continent,GeoGroup,Country,Region,Survey Role,Send a phishing email,Target the company receptionist for sensitive information,Send emails threatening legal action,Impersonate an executive and spoof their email to send orders to employees,Involve external or unaware parties and trick them into aiding you,"Phish the CEO or other VIPs, making executives look bad or stupid",Point out the flaws in a colleague's work especially if they are friendly or important,Bribery,RAT (remote access Trojan) a 0n-work device (laptop/tablet/phone) or a device belonging to a family member,Using debt or other problems from OSINT (public info) to blackmail an employee,Threaten to harm an employee's family members,Compromise legal or confidential documents inside the company,DoS/DDoS the organization,Destroy production data/systems as part of an attack or test,Planting actual or fake illegal content on a machine to blackmail user,Job Role,ITorNOT,SecurityOrNot,RedOrNot
North America,North America,United States,Virginia,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,Red team/Pentester - tests other organizations,IT,Security,Red
North America,North America,United States,Virginia,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,Red team/Pentester - tests your own organization,IT,Security,Red
North America,North America,United States,Georgia,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,Other (Non IT),NotIT,NotSecurity,NotRed
North America,North America,United States,Pennsylvania,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,Security but not Red team/Pentester,IT,Security,NotRed
North America,North America,United States,Virginia,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,Red team/Pentester - tests your own organization,IT,Security,Red
North America,North America,United States,Massachusetts,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,Security but not Red team/Pentester,IT,Security,NotRed
North America,North America,United States,Texas,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,Security but not Red team/Pentester,IT,Security,NotRed
Europe,Europe,Italy,,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,IT but not Security,IT,NotSecurity,NotRed
Europe,Europe,Italy,,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,IT but not Security,IT,NotSecurity,NotRed
Europe,Europe,Spain,Malaga,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,Security but not Red team/Pentester,IT,Security,NotRed
North America,North America,United States,Texas,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,1,IT but not Security,IT,NotSecurity,NotRed
North America,North America,United States,Rhode Island,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,Red team/Pentester - tests your own organization,IT,Security,Red
Asia,Asia,China,,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,Other (Non IT),NotIT,NotSecurity,NotRed
Europe,Europe,Belarus,,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,Red team/Pentester - tests other organizations,IT,Security,Red
North America,North America,Canada,Northwest Territories,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Other (Non IT),NotIT,NotSecurity,NotRed
North America,North America,United States,New Jersey,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,Red team/Pentester - tests other organizations,IT,Security,Red
North America,North America,United States,Georgia,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,Red team/Pentester - tests other organizations,IT,Security,Red
North America,North America,United States,Louisiana,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,Other (Non IT),NotIT,NotSecurity,NotRed
North America,North America,United States,New York,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,Security but not Red team/Pentester,IT,Security,NotRed
Africa,Middle East and Africa,"Tanzania, United Republic Of",,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,IT but not Security,IT,NotSecurity,NotRed
North America,North America,United States,Colorado,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,Security but not Red team/Pentester,IT,Security,NotRed
Middle East,Middle East and Africa,United Arab Emirates,,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,IT but not Security,IT,NotSecurity,NotRed
South America,South and Central America,Brazil,,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,Other (Non IT),NotIT,NotSecurity,NotRed
North America,North America,United States,District Of Columbia,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Other (Non IT),NotIT,NotSecurity,NotRed
